epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,126.09,0.99593,0.88173,1.01645,0.90927,0.93345,0.97123,0.7027,1.01365,0.62971,0.96418,0.00060759,0.00060759,0.00060759
43,128.934,1.03891,0.89381,0.99475,0.93558,0.93467,0.96827,0.69323,1.00686,0.63292,0.95954,0.000602092,0.000602092,0.000602092
44,131.752,1.031,0.90194,1.01929,0.9332,0.93798,0.97321,0.69709,1.01851,0.6375,0.96591,0.000596595,0.000596595,0.000596595
45,134.664,1.08465,0.92511,1.03815,0.91794,0.95461,0.97379,0.70352,0.99084,0.62148,0.95522,0.000591097,0.000591097,0.000591097
46,137.579,1.01171,0.82989,0.99414,0.92989,0.93439,0.97535,0.69959,0.99271,0.63876,0.95279,0.000585599,0.000585599,0.000585599
47,140.447,0.99752,0.83259,0.98997,0.9198,0.92974,0.97152,0.69214,0.99612,0.64983,0.94578,0.000580101,0.000580101,0.000580101
48,143.32,1.00211,0.847,0.98912,0.91344,0.91737,0.97373,0.72213,0.97071,0.65841,0.94006,0.000574603,0.000574603,0.000574603
49,146.196,0.98959,0.86551,0.98275,0.90733,0.95814,0.97256,0.71819,0.97916,0.62533,0.94849,0.000569106,0.000569106,0.000569106
50,149.055,1.02807,0.83304,1.00407,0.92246,0.93733,0.97667,0.71641,0.99037,0.61514,0.95082,0.000563608,0.000563608,0.000563608
51,151.918,1.03583,0.8614,0.9991,0.94316,0.92563,0.98252,0.7193,0.96017,0.5884,0.93952,0.00055811,0.00055811,0.00055811
52,154.777,1.00682,0.82864,0.98265,0.91502,0.97173,0.98147,0.7078,1.00008,0.59098,0.95262,0.000552612,0.000552612,0.000552612
53,157.632,0.98741,0.83687,0.99994,0.94587,0.93878,0.98133,0.71254,0.97739,0.59507,0.94321,0.000547114,0.000547114,0.000547114
54,160.491,0.98416,0.84822,1.00533,0.93213,0.95255,0.97693,0.70983,0.96567,0.60265,0.94033,0.000541617,0.000541617,0.000541617
55,163.345,0.96602,0.81564,0.97764,0.91248,0.95623,0.97991,0.70739,0.96543,0.58461,0.93779,0.000536119,0.000536119,0.000536119
56,166.213,0.96026,0.77849,0.99232,0.95042,0.90724,0.97807,0.71613,0.95337,0.59794,0.92973,0.000530621,0.000530621,0.000530621
57,169.074,0.99631,0.81435,1.00031,0.95251,0.9235,0.98107,0.72752,0.94005,0.58966,0.92927,0.000525123,0.000525123,0.000525123
58,171.964,0.99772,0.78922,0.98626,0.96187,0.93941,0.98421,0.73679,0.92911,0.57541,0.93064,0.000519625,0.000519625,0.000519625
59,174.85,0.9374,0.76253,0.96716,0.93098,0.93252,0.98226,0.72494,0.92763,0.56709,0.92791,0.000514128,0.000514128,0.000514128
60,177.711,0.99998,0.78802,0.98205,0.92717,0.92493,0.98207,0.72784,0.93319,0.57604,0.93261,0.00050863,0.00050863,0.00050863
61,180.553,0.96776,0.73654,0.99104,0.93058,0.94434,0.98067,0.72231,0.93612,0.56618,0.93095,0.000503132,0.000503132,0.000503132
62,183.421,0.97969,0.74631,0.97181,0.94876,0.96169,0.98264,0.73458,0.93407,0.5568,0.9204,0.000497634,0.000497634,0.000497634
63,186.3,0.97852,0.75522,0.97368,0.93404,0.94245,0.98196,0.73377,0.95908,0.56193,0.93119,0.000492136,0.000492136,0.000492136
64,189.18,0.94225,0.72804,0.96801,0.92955,0.94303,0.98247,0.74315,0.91866,0.56003,0.91799,0.000486639,0.000486639,0.000486639
65,192.063,1.00436,0.71872,0.99298,0.94264,0.95415,0.98451,0.72986,0.93137,0.55936,0.92368,0.000481141,0.000481141,0.000481141
66,194.934,0.97479,0.72301,0.97047,0.94681,0.94531,0.9827,0.73506,0.94109,0.55767,0.93062,0.000475643,0.000475643,0.000475643
67,197.819,0.96996,0.7291,0.97838,0.94869,0.94259,0.9855,0.74903,0.8949,0.54919,0.92198,0.000470145,0.000470145,0.000470145
